r, theta, phi, ground_track_beam_radius, ground_track_beam_area, v_r, v_theta, v_phi, beamwidth, v_groundtrack
8095220.54601459, 136.15337015680552, -31.42221424328434, 133.21066682312753, 55747.81848031059, 702.0786246570553, -0.014458987240486202, 0.018483987674224163, 0.004449812006670222, 2766.686460932039
8184940.54882255, 134.40119413864835, -29.36710655656946, 140.17866952644843, 61732.48222287192, 749.3439552138085, -0.01463422276621006, 0.017164316475217524, 0.004449812006670223, 2553.267749243601
8280292.213909614, 132.63458855786234, -27.453793930034315, 147.58404892121885, 68427.191367234, 796.3797549750376, -0.014754738874033191, 0.015980040194572602, 0.004449812006670223, 2362.940887437127
8381246.334202862, 130.85924322722698, -25.66770649271267, 155.42453667310207, 75890.78331704857, 843.1716164520876, -0.014827733507500964, 0.014917451880881512, 0.004449812006670223, 2192.8783466545447
8487771.986546949, 129.08009818016194, -23.995824560026218, 163.69773117015754, 84185.09243154556, 889.7052068768627, -0.014859468844649846, 0.013963604334379537, 0.004449812006670223, 2040.5715491336234
8599836.541176114, 127.30144171877365, -22.426556489774384, 172.40109825847424, 93374.85252835238, 935.9662725918096, -0.014855388163508324, 0.013106570505467291, 0.004449812006670223, 1903.8196072978387
8717405.671709016, 125.52699530964789, -20.949604287517467, 181.53197201840757, 103527.594634194, 981.9406434164418, -0.014820225690087339, 0.012335545812117984, 0.004449812006670223, 1780.7048845158613
8840443.365663163, 123.75998664389682, -19.555828575693077, 191.08755558117144, 114713.54011576006, 1027.6142369871525, -0.014758105450856087, 0.011640853453994422, 0.004449812006670223, 1669.563267313985
8968911.9354859, 122.00321233002265, -18.23711964605807, 201.0649219855467, 127005.48932907336, 1072.973063071389, -0.014672627859745296, 0.011013893604345666, 0.004449812006670223, 1568.9535914469432
9102772.030098438, 120.25909166088806, -16.98627813286337, 211.46101507443603, 140478.70593152795, 1118.003227852722, -0.014566944267455095, 0.010447063057378598, 0.004449812006670223, 1477.628568081493
9241982.646949422, 118.52971277881083, -15.796906836742323, 222.27265043098956, 155210.79700644477, 1162.6909381863618, -0.01444382045253361, 0.009933662097188956, 0.004449812006670223, 1394.5083158752911
9386501.144574387, 116.81687240839446, -14.663314007707115, 233.49651635402196, 171281.58915549386, 1207.0225058245446, -0.014305690343823951, 0.00946779879097252, 0.004449812006670223, 1318.6568937405402
9536283.255657265, 115.12211016497562, -13.580427688323578, 245.12917487241884, 188773.00071961377, 1250.984351609495, -0.014154701325063131, 0.009044296614107898, 0.004449812006670223, 1249.2618392323664
9691283.10058979, 113.44673829317912, -12.543720340134572, 257.1670627982129, 207768.91029414645, 1294.5630096320092, -0.013992752402751486, 0.008658608564179037, 0.004449812006670223, 1185.6165185846976
9851453.201524898, 111.79186755229041, -11.54914280423938, 269.60649281802563, 228355.02170883433, 1337.7451313572758, -0.013821526388039015, 0.008306739201844798, 0.004449812006670222, 1127.105006336789
10016744.496919574, 110.15842984547197, -10.593066599541556, 282.4436546225205, 250618.72564795005, 1380.5174897126903, -0.013642517092232086, 0.007985175014400615, 0.004449812006670223, 1073.1891867375577
10187106.356562892, 108.54719808812035, -9.672233587154487, 295.6746160735393, 274648.9580903464, 1422.8669831403254, -0.013457052385567244, 0.007690822893424543, 0.004449812006670223, 1023.3977767012137
10362486.597084437, 106.95880372548108, -8.78371209354151, 309.29532440854587, 300536.0557533921, 1464.7806396089832, -0.013266313830674939, 0.007420956191247006, 0.004449812006670223, 977.316994033134
10542831.49793861, 105.39375223902644, -7.9248586674566495, 323.3016074820294, 328371.6087288365, 1506.24562058885, -0.013071353480487406, 0.0071731676672914906, 0.004449812006670223, 934.5826252266484
10728085.817859678, 103.85243692299368, -7.0932847341239595, 337.6891750434667, 358248.31050234614, 1547.2492249830893, -0.012873108325907729, 0.006945328586201711, 0.004449812006670223, 894.8732789663258
10918192.811782662, 102.33515116487317, -6.286827497049698, 352.4536200514649, 390259.8055520533, 1587.7788930186912, -0.01267241279086019, 0.006735553241494246, 0.004449812006670223, 857.9046417789734
11113094.248224897, 100.84209942475785, -5.503524519438649, 367.5904200236795, 424500.5347247238, 1627.8222100938247, -0.012470009599438095, 0.0065421682234024815, 0.004449812006670223, 823.4245797252497
11312730.427122818, 99.37340707675428, -4.741591491464749, 383.094938422089, 461065.57859118644, 1667.3669105800282, -0.012266559279996044, 0.006363685810533007, 0.004449812006670223, 791.208954183676
11517040.198118662, 97.92912924980327, -3.9994027559614467, 398.96242607321085, 500050.4989855, 1706.4008815798936, -0.012062648522109226, 0.006198780931467355, 0.004449812006670223, 761.0580406178127
11725960.97929134, 96.5092587841612, -3.2754742235089904, 415.18802262281304, 541551.1789348241, 1744.9121666367544, -0.011858797562599948, 0.0060462712084525675, 0.004449812006670223, 732.7934569898711
11939428.776325874, 95.1137334025493, -2.568448358863041, 431.7667580246873, 585663.661189302, 1782.8889693976284, -0.0116554667446527, 0.00590509965750084, 0.004449812006670223, 706.2555234941381
12157378.20211542, 93.74244218084156, -1.8770809648465345, 448.69355406301804, 632483.9855632314, 1820.3196572261745, -0.011453062368086386, 0.005774319675926599, 0.004449812006670223, 681.3009879055551
12379742.496789906, 92.39523139153334, -1.2002295279425426, 465.9632259078833, 682108.0253005902, 1857.1927647657742, -0.011251941927908352, 0.0056530819989763625, 0.004449812006670223, 657.80106140406
12606453.548165213, 91.07190978362061, -0.5368429226063088, 483.57048370341823, 734631.3226794957, 1893.496997451961, -0.011052418821427486, 0.005540623351768468, 0.004449812006670223, 635.6397185657855
12837441.912606541, 89.77225335453704, 0.1140477005496403, 501.5099341881439, 790148.9240713511, 1929.2212349716597, -0.010854766590601727, 0.005436256561552263, 0.004449812006670223, 614.7122225818785
13072636.836299583, 88.49600966311958, 0.7533369934282537, 519.7760823469698, 848755.214671437, 1964.354534669253, -0.010659222755380771, 0.005339361928876334, 0.004449812006670223, 594.9238429156495
13311966.276923116, 87.24290172695802, 1.3818525860497195, 538.3633330943707, 910543.7531184026, 1998.8861348991798, -0.010465992284942329, 0.005249379685114493, 0.004449812006670223, 576.188737739626
13555356.92571619, 86.01263154272297, 2.0003614714580102, 557.2659929882099, 975607.1062204712, 2032.8054583216713, -0.01027525074658742, 0.005165803388557334, 0.004449812006670223, 558.4289777822505
13802734.229933232, 84.80488326400086, 2.60957569714665, 576.47827197369, 1044036.6840063756, 2066.1021151426235, -0.010087147166250426, 0.005088174132441532, 0.004449812006670223, 541.5736917978866
14054022.415680228, 83.6193260676643, 3.2101574472219814, 595.9942851568987, 1115922.5753189034, 2098.7659062963157, -0.009901806629861301, 0.005016075456372502, 0.004449812006670223, 525.5583168732776
14309144.51112501, 82.45561673677018, 3.8027235883706303, 615.8080546074099, 1191353.384168543, 2130.7868265700345, -0.009719332650913057, 0.004949128868002197, 0.004449812006670223, 510.3239393027757
14568022.370074322, 81.31340198532459, 4.387849743121119, 635.9135111893696, 1270416.067063974, 2162.1550676673633, -0.009539809326397633, 0.00488698989497667, 0.004449812006670223, 495.81671387412166
14830576.695910804, 80.19232054791406, 4.966073945656743, 656.3044964205346, 1353195.7715353735, 2192.8610212142025, -0.009363303300648723, 0.004829344598392647, 0.004449812006670223, 481.98735118959576
15096727.06588219, 79.0920050551334, 5.537899928346292, 676.9747643586664, 1439775.6760650992, 2222.895281700573, -0.009189865554374958, 0.004775906488542749, 0.004449812006670223, 468.790664143194
15366391.955735533, 78.01208371388753, 6.103800081049793, 697.9179835147198, 1530236.8316389944, 2252.248649362198, -0.009019533034356772, 0.004726413791923312, 0.004449812006670223, 456.18516594363143
15639488.76468883, 76.95218180998818, 6.664218119979565, 719.127738792236, 1624658.0051297476, 2280.91213299849, -0.008852330137646048, 0.004680627025432325, 0.004449812006670223, 444.13271314218576
15915933.840732388, 75.91192304896761, 7.219571498335858, 740.5975334523445, 1723115.5247217293, 2308.8769527265654, -0.008688270062780359, 0.0046383268396636155, 0.004449812006670222, 432.59818803871195
16195642.506252168, 74.89093074967747, 7.770253586986181, 762.320791103772, 1825683.1275844737, 2336.1345426704825, -0.008527356039327263, 0.004599312098305283, 0.004449812006670223, 421.54921560475776
16478529.083967326, 73.88882890400662, 8.316635650031868, 784.2908577172511, 1932431.8099994494, 2362.6765535853124, -0.008369582446061086, 0.004563398165032285, 0.004449812006670223, 410.95591072815455
16764506.923173899, 72.90524311493013, 8.859068637129486, 806.5010036637076, 2043429.680141962, 2388.494855414109, -0.008214935827145097, 0.004530415373037727, 0.004449812006670223, 400.79065213968937
17053488.42628674, 71.93980142407175, 9.397884811845918, 828.9444257756087, 2158741.8137170174, 2413.5815397789397, -0.008063395814917926, 0.004500207655581622, 0.004449812006670223, 391.02787986561464
17345385.075671393, 70.99213503902338, 9.933399233069458, 851.6142494308322, 2278430.112644649, 2437.9289224024637, -0.007914935967125399, 0.004472631318710565, 0.0044498120066702234, 381.6439134594299
